id,entity_id,risk_name,description,severity,stages_affected,mitigation_setting_ids,residual_note,source_url,last_verified
ig_risk_sextortion,instagram,Sextortion via DMs,Criminal networks target teens especially boys with fake profiles then blackmail over images,critical,"navigator,voyager","ig_dm_limits,ig_private,ig_teen_account",The pattern moves off-platform fast; the protective script matters as much as the setting,https://familycenter.meta.com/our-products/instagram/,2026-07-04
ig_risk_body_image,instagram,Appearance and comparison pressure,Algorithmic feeds amplify idealised bodies and lifestyles; linked to mood and body dissatisfaction for some teens,high,"navigator,voyager","ig_stricter_content,ig_daily_limit",Evidence is contested on averages but clear enough on vulnerable subgroups; watch the child not the average,https://about.instagram.com/blog/announcements/instagram-teen-accounts,2026-07-04
ig_risk_finsta,instagram,Second accounts outside supervision,A finsta created with a false birthday carries no teen protections and no supervision,high,"navigator,voyager","ig_supervision",Meta age-detection AI catches some; the honest conversation catches more,https://www.bark.us/blog/instagram-teen-accounts-supervision-explained/,2026-07-04
tt_risk_algorithm,tiktok,Algorithmic rabbit holes,The For You feed can serve escalating content on dieting; self-harm adjacent themes and extreme material,high,"navigator,voyager","tt_restricted_mode,tt_screen_time,tt_search_control",Restricted Mode reduces but does not eliminate; ask what the feed is showing them,https://support.tiktok.com/en/safety-hc/account-and-user-safety/family-pairing,2026-07-04
tt_risk_migration,tiktok,Platform migration when locked down,When TikTok is limited the same short-form content flows through YouTube Shorts and Instagram Reels,medium,"navigator,voyager","yt_shorts_limit,ig_daily_limit",Set limits by format not by app; the format is the compulsion,https://nexspy.com/blog/tiktok-family-pairing,2026-07-04
sc_risk_disappearing,snapchat,Disappearing messages and screenshots,Vanishing chats create false safety; recipients screenshot and images persist,high,"navigator,voyager","sc_contact_me,sc_family_centre",No setting fixes this; the think-before-you-send script is the mitigation,https://www.mcafee.com/blogs/family-safety/setting-up-parental-controls-in-tiktok-instagram-snapchat/,2026-07-04
sc_risk_location,snapchat,Snap Map location exposure,Live location visible to a whole friends list including loosely known contacts,high,"navigator,voyager","sc_ghost_mode",None while Ghost Mode holds,https://www.centerforonlinesafety.com/blog/parental-controls-for-tiktok-youtube-snapchat,2026-07-04
yt_risk_content_drift,youtube,Recommendation drift,Autoplay and recommendations drift from age-appropriate to borderline over a session,medium,"explorer,learner,navigator","yt_autoplay_off,yt_content_level,yt_kids_approved_only",No filter is perfect; co-viewing habits for the youngest do more than any toggle,https://www.youtube.com/myfamily/,2026-07-04
yt_risk_shorts_compulsion,youtube,Shorts feed compulsion,Short-form autoplay feeds produce the longest unintended sessions,medium,"learner,navigator,voyager","yt_shorts_limit",The same format lives on three other platforms,https://blog.youtube/news-and-events/updates-youtube-supervised-accounts-teens/,2026-07-04
wa_risk_group_adds,whatsapp,Unknown group adds,Strangers or loose contacts add children to groups containing scams; bullying or explicit content,high,"learner,navigator,voyager","wa_groups_contacts,wa_parent_managed",A known contact can still add them to a bad group; teach leave and tell,https://mamastillgotit.substack.com/p/the-parenting-digital-guide-check,2026-07-04
wa_risk_takeover,whatsapp,Account takeover scams,Verification-code phishing hijacks accounts then targets the child's contacts,medium,"navigator,voyager,independent","wa_two_step",The never-share-the-code rule is the mitigation,https://mamastillgotit.substack.com/p/the-parenting-digital-guide-check,2026-07-04
rb_risk_grooming,roblox,Grooming through chat and gifts,Predators build trust via compliments; Robux gifts and exclusive attention then move chat off-platform,critical,"explorer,learner,navigator","rb_chat_controls,rb_trusted_friends,rb_account_type",The off-platform move to Discord or Snapchat is the escalation signal; name it for your child,https://www.understandtech.co.uk/roblox-safety-chat-friends-parental-controls-2025/,2026-07-04
rb_risk_condo_games,roblox,Age-inappropriate user-generated experiences,User-created games with sexual or violent content periodically evade moderation,high,"explorer,learner,navigator","rb_content_maturity,rb_account_type",Report and block; the June 2026 account types cut exposure sharply for under 9s,https://helpingsurvivors.org/news/roblox-launches-kids-and-select-accounts-worldwide-with-new-child-safety-controls/,2026-07-04
rb_risk_spending,roblox,Robux social spending pressure,Avatar items and game passes carry playground status; spending pressure is peer-driven,medium,"explorer,learner,navigator","rb_spending",Grandparent gift cards bypass caps,https://about.roblox.com/parental-controls,2026-07-04
fn_risk_voice_culture,fortnite,Open voice chat culture,Squad fill matches put children in live voice with adult strangers by default culture,high,"learner,navigator","fn_chat_filters",Friends-only squads preserve the fun and cut the exposure,https://www.epicgames.com/site/en-US/parental-controls,2026-07-04
dc_risk_migration_destination,discord,Migration destination for risky contact,Discord is where conversations move when other platforms are locked down; servers are unmoderated by default,high,"navigator,voyager","dc_family_center,dc_dm_filters,dc_server_review",Family Center shows who not what; the monthly server conversation is the real control,https://discord.com/safety-family-center,2026-07-04
x_risk_adult_content,x_twitter,Adult content permitted on platform,X allows pornography and has no parental controls; sensitive media settings are trivially changed,critical,"navigator,voyager","x_no_controls",No configuration makes X appropriate for under 16s; the guidance is the pathway not the toggle,https://help.x.com/en/safety-and-security,2026-07-04
general_risk_displacement,router,Displacement of sleep and activity,Across all devices the best-evidenced harm channel is displaced sleep; movement and face-to-face time rather than content alone,high,"explorer,learner,navigator,voyager","ios_downtime,android_daily_limit,router_wifi_schedule,switch_play_time",This is why the platform covers the full family screen picture not social media alone,https://www.internetmatters.org/,2026-07-04
