id,area,hypothesis_from_external_report,status,evidence,proposed_action,priority
H11,Claims,"Researcher endorsement implied",PARTIALLY RESOLVED,schools/app/philosophy/page.tsx:319 disclaims endorsement; parent site app/page.tsx:322 903 names five unnamed researchers; /evidence page names nobody,"Name the five with sources on /evidence and add the same no endorsement line",P1
H12,Claims,"Wrong Villain evidence microsite makes unsupported causal attribution",BLOCKED-UNKNOWN,evidence.guidedchildhood.com not in this repo; domain unreachable from here; the series text is in the viral post skill,"Justin to confirm where the microsite is hosted; quarantine the 32%/3% attribution until sourced",P1
H13,Pricing,"Four day vs seven day trial conflict",STILL PRESENT,terms/page.tsx:40 says 7 day; lib/access.ts:23 and migration 201 say 4; homepage says four,"Rewrite the Terms trial paragraph (report section 5)",P0
H14,Pricing,"Card collected at signup wording vs no card",STILL PRESENT,terms:40 vs homepage :305 :964, FreeDoor.tsx:84, plan/free/route.ts,"Terms to describe both doors",P0
H15,Pricing,"£99 saves £57 and two months free arithmetic",STILL PRESENT,app/page.tsx:978; join:750; PlanChooser.tsx:51; £155.88 minus £99 = £56.88 = 4.38 months,"Copy: £8.25 a month, save £56.88 against monthly",P1
H16,Pricing,"One configuration source for price, trial, card, renewal",PARTIALLY RESOLVED,Trial length is one source (platform_config.trial_days); prices exist only as copy strings in 20 plus files,"Add a lib/config/prices.ts read by every surface",P1
H17,Pricing,"Pre renewal reminder and one click cancellation",PARTIALLY RESOLVED,Cancel via Stripe portal exists (portal/route.ts, settings:587); day 3 pre charge email exists; no reminder before monthly or annual renewals,"Add a renewal reminder cron; confirm the Stripe portal is enabled",P1
H18,Pricing,"Consumer law review before launch",BLOCKED-UNKNOWN,External; not verifiable from the repo,"Justin's call after H13 to H15 are fixed",P1
H19,Stars,"Baseline recreational allowance predictable and pre agreed",PARTIALLY RESOLVED,Core time exists (migration 223, time-tiers.ts:20-21) but defaults to 0 so most families are all earned,"Decision: default core time on by age guide, or ask at setup",P1
H20,Stars,"Earn choice within a cap not an uncapped bank of minutes",RESOLVED AND VERIFIED,Weekly cap star-week.ts:130-135; Monday reset bank.ts:19-34; unused to sticker credits,"None",P2
H21,Stars,"Non screen rewards of equal visual status",PARTIALLY RESOLVED,One parent set goal (goal/redeem/route.ts:10); minutes are the headline unit on every child surface (KidQuestScreen.tsx:2689 959 1773),"Family reward menu of two or three parent set rewards shown beside minutes",P1
H22,Stars,"Never attach screen rewards to food, sleep, affection, school essentials or disclosure",PARTIALLY RESOLVED,Food, affection, child disclosure clean. Homework and bedtime routine jobs pay minutes (templates.ts:53-61); homework on a computer costs stars (device-time.ts:60-78); fair play star keyed off the parent's disclosure (literacy-checkin/route.ts:158-185),"Make homework and bedtime routine jobs family jobs by default; homework sessions free; fair play star on a child act",P1
H23,Stars,"Prevent debt, loss spirals, sibling comparison; expire or cap balances",RESOLVED AND VERIFIED,No negative balances (bank.ts:250 261; migration 047:26); no confiscation; KidWins.tsx:12-18 no ranking; weekly expiry,"None",P2
H24,Stars,"Ages 4 to 7 default to visual routines and co use, not tokenised minutes",PARTIALLY RESOLVED,coview default (quests/route.ts:160); paper chart route exists; but the same minutes UI renders for every age (BalanceToday.tsx:239),"Age branch on the child balance copy for under 8",P2
H25,Stars,"Test stars against a routine only version",STILL PRESENT,Both modes exist (family jobs, routines, no_phone flow) but nothing measures conflict between them,"Compare families with core time on vs off using existing concern_events before any trial",P2
H26,DiGi,"Keep DiGi parent facing, not a child companion",RESOLVED AND VERIFIED,scripts/check-child-has-no-model.mjs; child app has zero model calls; DiGi is a static character to the child,"None; make it a named public promise",P2
H27,DiGi,"Ground answers in a versioned source register with confidence and review date",PARTIALLY RESOLVED,expert_knowledge table (019:9-19) with source and URL, human gated growth; no confidence, review date or version; no source shown to the parent,"Add reviewed_at and confidence columns and surface the source name in the reply",P1
H28,DiGi,"High risk detection with deterministic response paths",PARTIALLY RESOLVED,Crisis prompt rule system.ts:41; deterministic gate on the rescue route only (rightnow/custom:63-66); main chat flags post hoc (route.ts:986-1005) and never calls hasCrisisLanguage; no detection for grooming, abuse, exploitation, eating disorders, violence, emergencies,"Call hasCrisisLanguage before the model in app/api/digi/route.ts and prepend the fixed signpost; add the other risk classes",P1
H29,DiGi,"UK escalation routes named",PARTIALLY RESOLVED,Samaritans, 999, GP, CAMHS, Childline, Papyrus, Beat, YoungMinds in the prompt; no CEOP, no school DSL route,"Add CEOP and the school DSL to the prompt and the rescue response",P1
H30,DiGi,"Prohibit diagnosis, risk scoring, mental state claims",RESOLVED AND VERIFIED,system.ts:71-72 113-122; safety.ts DIAGNOSIS regex; evals diagnosis bait; privacy:59 never a judgement about your child,"None",P2
H31,DiGi,"Granular memory controls: view, correct, export, delete, turn off, retention",STILL PRESENT,digi_memory has no parent UI or route; tools.ts:32 claims a parent can delete a line but nothing exists; no retention,"Settings screen listing memories with delete and a memory off switch",P1
H32,DiGi,"Separate raw chat logs from durable family facts",RESOLVED AND VERIFIED,digi_conversations vs digi_memory (001:167; 019:24),"None",P2
H33,DiGi,"Red team before release",PARTIALLY RESOLVED,13 evals plus 5 rotating cases weekly (lib/digi/evals.ts, weekly-tester.ts); no coercive family, false disclosure or injection cases,"Extend the eval set",P2
H34,DiGi,"Incident logs and reviewed weekly should name what is reviewed",PARTIALLY RESOLVED,digi_safety_flags plus Monday email exist; no incident log; app/page.tsx:322 903 says every answer and lesson reviewed weekly which is untrue,"Rewrite the two lines to what is reviewed; add an incident table",P1
H35,Privacy,"Legal entity, registration, address and privacy contact consistent",STILL PRESENT,privacy:34 and terms:25 name Guided Childhood only; no company number or address; homepage footer has the postal address,"Justin to confirm the entity; put the same block on privacy, terms and both footers",P0
H36,Privacy,"Children's Code assessment and DPIA before scaling",STILL PRESENT,No document; go-live-safety-checklist.md:98-105 and review.md:112 say pre DPIA,"Commission the DPIA; the checklist already lists the inputs",P0
H37,Privacy,"Map every data item with lawful basis, retention, deletion path",STILL PRESENT,No ROPA; notice omits child phone, device settings, child typed notes, embedding providers, transfers; two year retention promise has no purge job,"Write the ROPA from A5 section 1 and 7; add the purge cron or change the promise",P0
H38,Privacy,"Clarify parent entering data about a child, quest links, child assent and transparency",PARTIALLY RESOLVED,KidPrivacyNote.tsx in the child app; notice line 48; note does not mention child typed notes being visible,"One sentence in KidPrivacyNote about notes; one paragraph in the notice",P2
H39,Privacy,"School specific privacy, DPA, subprocessor, retention and incident information",PARTIALLY RESOLVED,schools/app/hub/data-protection/page.tsx exists but is gated behind the code; no DPA file; EU region claim unverifiable,"Open that page publicly and attach a DPA template",P1
H40,Privacy,"Tenancy and access controls; a school code is not an identity",STILL PRESENT,schools/lib/access.ts:15-21 acknowledges it; plain text env allow list; no rate limit, rotation or audit,"Move codes to a table with hash, expiry and an attempt limit",P1
H41,Privacy,"Do not call the tracker a health assessment or screening tool",IMPLEMENTED NOT FULLY VERIFIED,go-live-safety-checklist.md wording rules; DiGi never characterises; but digitalwellbeing/index.html:318 497 shows a Trust Score and Signal Score with no method,"Remove or explain the scores on the microsite",P1
H42,Curriculum,"21 of 21 live while the rest are in production",STILL PRESENT,schools/app/curriculum/page.tsx:54 renders both halves once all rows exist,"Show the second half only when liveCount is below the total",P1
H43,Curriculum,"Complete scheme of work not publicly inspectable; no sample lesson",STILL PRESENT,Everything teachable is gated (access.ts:60); pricing:92-94 says the catalogue is open,"Open one primary and one secondary module fully (lesson, run sheet, print pack)",P1
H44,Curriculum,"Supplied files are outlines not classroom ready",NOT APPLICABLE-PRIOR FINDING UNSUPPORTED,All 21 school_lessons rows carry 12 to 27 scripted slides, misconceptions, differentiation, worksheet with answers, assessment, parent and DSL notes (A6 table),"None; publish one so it can be seen",P2
H45,Curriculum,"Slide deck is heading plus one bullet",NOT APPLICABLE-PRIOR FINDING UNSUPPORTED,GC-Module9 pptx has 9 to 18 paragraphs a slide plus notes; the reviewed deck is off manifest,"Retire the legacy Module 9 HTML in public/",P2
H46,Curriculum,"KCSIE 2025 on a 2026 page; duplicated labels",STILL PRESENT,module 12 hooks KCSIE 2025 (023:243-244) print on the public matrix; layout.tsx:29 2025 RSHE; matrix h1 RSHE 2025; M12 in all four KCSIE rows,"Update the seed hooks and the three headings",P1
H47,Curriculum,"Mapping to exact outcomes and paragraph IDs",STILL PRESENT,Ten broad topic columns (shared/schools-curriculum.ts:48-59); free text hooks; line by line claimed at page.tsx:61 235,"Either map to paragraph IDs or stop saying line by line",P1
H48,Curriculum,"Six phase model carried with content",PARTIALLY RESOLVED,20 of 21 decks have no Connect slide (lesson-slides.ts:32-34); video beats empty; interactives on 2 of 21,"Add a Connect slide per module",P2
H49,Curriculum,"SEND, EAL, disclosure handling, CPD",PARTIALLY RESOLVED,Differentiation and paper fallback on all 21; DSL notes on 10; CPD briefings hardcoded in hub/cpd; SEND and EAL never named,"Add a SEND and EAL line per module; move CPD to the database",P2
H50,Security,"Public unlock page shows a plausible example school code",STILL PRESENT,schools/app/unlock/UnlockForm.tsx:60 placeholder oakfield-2026 equals .env.local.template:62 sample; live value unknown,"Change the placeholder to your school code; Justin confirms the live list",P1
H51,Security,"Rate limit, hash and rotate codes; staff access and audit",STILL PRESENT,access.ts:35-44; actions.ts:20-30 fixed 500 ms delay only,"As H40",P1
H52,Branding,"Retire legacy Social Billboard footers",STILL PRESENT,schools/app/page.tsx:747; join/page.tsx:820; digitalwellbeing/page.tsx:117; every public/*.html; Mailchimp pilot CTA at schools page.tsx:36,"Three footer edits plus the static pages decision",P1
H53,UX,"Homepage about seventeen viewports long",BLOCKED-UNKNOWN,14 padded blocks plus 9 FAQs and 3 plans (app/page.tsx); not rendered here,"Measure in DevTools; the recommended IA is sound",P2
H54,UX,"Reveal animations leave content invisible on direct jumps",PARTIALLY RESOLVED,Parent HomeReveals.tsx hides only below the fold via JS, reduced motion respected; schools/components/Reveal.tsx:46 ships opacity 0 in SSR for the hero,"Render the schools hero visible by default",P1
H55,UX,"Accessibility statement and WCAG 2.2 AA",STILL PRESENT,No statement, no skip link, one focus-visible rule; matrix ticks 1.57:1, eyebrows 3.46:1, footer 2.18:1,"Statement page plus a focus ring and three token swaps",P2
H56,UX,"Respect prefers reduced motion",RESOLVED AND VERIFIED,HomeReveals.tsx:19; globals.css:524-527; tokens.css:396-399,"None",P2
H57,Branding,"Rename Social Media Passport to avoid UKCIS Digital Passport confusion",PARTIALLY RESOLVED,Locked decision decisions.md:9016 never digital passport in school marketing; schools complies; parent site uses Digital Passport (app/page.tsx:26 297) and Social Media Passport (passport/page.tsx:13),"One name: the Passport",P2
H58,Evidence,"Structured claim register",STILL PRESENT,None exists; nearest research/2026-08-31-marketing-evidence-research.md covers the schools philosophy page only,"Start the register from A1 and the contrarian briefing ledger",P1
H59,Evidence,"Published evaluation design before outcome promises",STILL PRESENT,plans/evidence-of-outcomes-research.md names the data model gap (concern rows overwrite history); no pilot design,"Fix resolved_at and history first, then a two week baseline",P2
H60,Evidence,"Testimonials genuine, consented and labelled",STILL PRESENT,Three named as the only real ones (app/page.tsx:123-138); four different names on /join:141-170; a third set plus 131 parents on public/index.html,"Keep the three, remove or label the rest",P0
H61,Evidence,"Parent evidence page thin",STILL PRESENT,app/(marketing)/evidence/page.tsx:14-15 marked DRAFT; four uncited paragraphs; no names,"Rebuild as the readable view of the register",P1
H62,Conversion,"Low friction entry that does not demand sensitive child details first",RESOLVED AND VERIFIED,/starter-pack three questions no signup; every CTA routes there,"None",P2
N01,Security,"NEW: unauthenticated service role route",STILL PRESENT,app/api/push/subscribe/route.ts:9-14 21 33-41 77-86 takes userId from the body with no session,"Require getUser() and use user.id",P0
N02,Privacy,"NEW: special category writes not consent gated server side",STILL PRESENT,app/api/tracker/route.ts:34-45 and tracker/quick/route.ts write without checking wellbeing_consent_at; gate is client side,"Check consent in both routes",P0
N03,Privacy,"NEW: DiGi question and reply text survives account deletion",STILL PRESENT,digi_safety_flags 043:14-19 user_id set null on delete,"Delete or redact flags on account deletion",P1
N04,Pricing,"NEW: standard tier card trial labelled founder everywhere",STILL PRESENT,webhook/route.ts:156-163 writes plan_choice founder for every subscription; settings:575, TrialCountdown:140, precharge email tell a £12.99 family their £7.99 founder rate starts,"Write plan_choice from the tier metadata",P0
N05,Pricing,"NEW: legacy Stripe Payment Links bypass the founder cap and trial",STILL PRESENT,public/starter-pack.html:661 740 848; public/scripts.html:241 483; public/device-checklist.html:562,"Remove the static pages or their buttons",P0
N06,Pricing,"NEW: founder counter sources disagree",STILL PRESENT,Checkout counts Stripe; email/cron/route.ts:171-178 and trial-pushes/route.ts:60-66 count profiles with a literal 50,"One counting function",P1
N07,Pricing,"NEW: 30 day refund promised on homepage and upgrade page, not in Terms",STILL PRESENT,app/page.tsx:1106; upgrade/page.tsx:305; terms:44,"Decide the policy and align",P1
N08,Claims,"NEW: three statistics attributed to Ofcom, IWF and NASUWT with no verification file",STILL PRESENT,app/(marketing)/ban-workarounds/page.tsx:434-445,"Verify or remove",P1
N09,Claims,"NEW: product numbers drift",STILL PRESENT,160 vs 100 plus scripts; 100 lessons vs all 20 units; Australia 60 61 two thirds,"One number per fact in a config",P1
N10,Build,"NEW: PR 968 Vercel build failed on the head commit",RESOLVED AND VERIFIED,Turbopack RSC error HappyPaper.tsx:1 via HomeMain; fix pushed to the PR branch after Justin's conflict message (crayon.ts), tsc clean,"Merge PR 968 when Vercel is green",P0
N11,Security,"NEW: kid link can be minted for a child not owned by the caller",STILL PRESENT,app/api/quests/route.ts:218-228 and policy 029:77-78 check user_id only,"Verify children.parent_id before inserting kid_links",P1
N12,Security,"NEW: no CSP, HSTS or Permissions Policy; CRON_SECRET null guard missing in two places",STILL PRESENT,vercel.json:9-35; cron-kit.ts:147; script-refresh/route.ts:38,"Add headers; guard the secret",P2
N13,Docs,"NEW: CLAUDE.md routes to docs/01 02 05 06 07 08 09 11 and digi/01 which do not exist on main",STILL PRESENT,find shows no docs/ and no digi/01-philosophy.md,"Point CLAUDE.md at THE-STORY.md sections or restore the docs",P2
