requirement_id,source_document,source_status,in_force,phase,block,strand,item_no,requirement_text_verbatim,also_named_by_kcsie_2026,satisfiable_by_pupil_lessons,coverage,modules_that_teach_it,evidence_in_the_lessons,what_is_missing
RSHE-P-WO-5,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Health and wellbeing,Wellbeing online,5,"Why social media, some apps, computer games and online gaming, including gambling sites, are age restricted.","para 165 commerce: risks such as online gambling, inappropriate advertising, phishing and or financial scams",Yes,FULL,ks2-26-why-thirteen; ks2-05-gaming-time-spend,"ks2-26 s15 'Games carry numbers too' teaches that a game rating is about what is inside and who is inside with you, not difficulty. s17 'Three kinds of number, three different jobs' separates social apps (thirteen, about your information), games (PEGI, about content and contact) and gambling sites (eighteen, the law rather than a company setting, and not allowed for children at all). s18 'The ones that are really about money' names paying for a random chance. ks2-05 teaches loot boxes.","Closed by migration 312. The age spotters sort in the practise phase includes a betting site, a 12 rated game with voice chat and a prize box game, so the three kinds of number are applied rather than listed."
RSHE-P-WO-6,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Health and wellbeing,Wellbeing online,6,"The risks relating to online gaming, video game monetisation, scams, fraud and other financial harms, and that gaming can become addictive.","para 165 commerce: online gambling, phishing and or financial scams",Yes,FULL,ks2-05-gaming-time-spend,"ks2-05 teaches loot boxes directly, including s19 'Paying money for a random chance is how gambling machines work, which is why some countries have banned loot boxes for children', the countdown chest scenario with fake scarcity, and a spend spotters sort with the verdicts Fine to enjoy, Ask first, Walk away. Its statutory hook is Citizenship financial literacy (fraud and scam prevention).",
RSHE-P-WO-7,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Health and wellbeing,Wellbeing online,7,"How to take a critical approach to what they see and read online and make responsible decisions about which content, including content on social media and apps, is appropriate for them.",,Yes,FULL,eyfs-01-screens-kindness; ks1-03-real-pretend-computer; ks2-06-how-algorithms-work,"eyfs-01 teaches Look and Ask, with the feedback line 'It is on the screen, but that does not make it real.' ks1-03 is a picture detectives module. ks2-06 teaches what the recipe is watching.",
RSHE-P-WO-8,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Health and wellbeing,Wellbeing online,8,"That abuse, bullying and harassment can take place online and that this can impact wellbeing. How to seek support from trusted adults.",para 165 conduct: online bullying,Yes,FULL,ks2-08-kind-safe-online,"ks2-08 carries 12 slides using the words bully, harass, abuse or pile on. Objectives include telling the difference between one unkind moment and real bullying, spotting a pile on forming, and the three moves.",
RSHE-P-WO-9,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Health and wellbeing,Wellbeing online,9,"How to understand the information they find online, including from search engines, and know how information is selected and targeted.",,Yes,FULL,ks2-06-how-algorithms-work,"ks2-06 teaches how information is selected and targeted: an algorithm is a recipe, what the app is really watching, and why the feed shows what it shows.","Closed by migration 310. ks2-06 now teaches the search box as the same recipe idea in the place children trust most: something chose the order, the top results are sometimes paid for, and first does not mean truest."
RSHE-P-WO-10,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Health and wellbeing,Wellbeing online,10,"That they have rights in relation to sharing personal data, privacy and consent.",,Yes,FULL,ks2-07-privacy-reputation; ks2-09-copyright-ownership,"ks2-07 teaches privacy as choosing. ks2-09 teaches ownership, permission and credit.","Closed by migration 310. ks2-09 now turns ownership around to point at the child: your name, face, birthday and address belong to you the way your drawing does, asking means a real yes and not a pre ticked box, and you can change your mind later."
RSHE-P-WO-11,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Health and wellbeing,Wellbeing online,11,Where and how to report concerns and get support with issues online.,,Yes,FULL,eyfs-01-screens-kindness; ks1-02-kind-screens-calm-bodies; ks2-08-kind-safe-online,"The trusted adult route is taught thoroughly and repeatedly from Reception, including that the child is never in trouble for telling.","Closed by migration 310. ks2-08 now teaches the in platform route alongside the trusted adult one: report tells the app, block stops that person reaching you, and neither replaces telling a grown up."
RSHE-S-OSA-1,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,1,"Rights, responsibilities and opportunities online, including that the same expectations of behaviour apply in all contexts, including online.",,Yes,FULL,ks4-16-consent-images-law; ks3-11-social-workarounds,"ks4-16 s7 makes the link explicitly for images: 'with images the same rules apply, except the stakes are far higher because a shared image can be copied.' The general principle is taught at KS1 and KS2.","Closed by migration 309. ks3-11 now states the standard at secondary: what you say online is held to the same standard as what you say out loud in a corridor, because the screen changes who can see you, never what is decent."
RSHE-S-OSA-2,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,2,"Online risks, including the importance of being cautious about sharing personal information online and of using privacy and location settings appropriately to protect information online. Pupils should also understand the difference between public and private online spaces and related safety issues.",,Yes,FULL,ks3-11-social-workarounds; ks4-19-readiness-at-16,"ks3-11 s23 teaches that the real age keeps every wired protection on and the privacy setting adds another on top, and that settings can work for you. ks4-19 s19 teaches choosing defaults on day one: notifications off, private account first, a time cap chosen in advance.","Closed by migration 309. ks3-11 now gives the room two words worth having: a private space is one where you could name everyone, and everything else is public, whatever the app calls it."
RSHE-S-OSA-3,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,3,"The characteristics of social media, including that some social media accounts are fake, and / or may post things which aren’t real / have been created with AI. That social media users may say things in more extreme ways than they might in face-to-face situations, and that some users present highly exaggerated or idealised profiles of themselves online.","para 165 content: misinformation, disinformation (including fake news)",Yes,FULL,ks3-12-misinfo-deepfakes; ks3-14-bodies-image-pressure; ks4-15-manipulation-persuasion; ks4-17-sextortion,ks3-14 teaches idealised and edited images. ks4-15 teaches parasocial pull and why an influencer feels like a friend. ks4-17 teaches accounts that exist to run a script. ks3-12 teaches AI generated content.,"Closed by migration 309. ks3-12 now teaches that accounts can be manufactured as well as content, run by somebody who is nobody they claim to be or by no person at all, and that people go further online than they would in a room because the screen hides the face that would normally stop them."
RSHE-S-OSA-4,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,4,"Not to provide material to others that they would not want to be distributed further and not to pass on personal material which is sent to them. Pupils should understand that any material provided online might be circulated, and that once this has happened there is no way of controlling where it ends up. Pupils should understand the serious risks of sending material to others, including the law concerning the sharing of images.","para 165 conduct: making, sending and receiving explicit images, including those generated using AI",Yes,FULL,ks4-16-consent-images-law,"ks4-16 is a 32 slide module on images and the law, with 38 slides across the scheme matching 'a crime', 'illegal', 'the law' or 'under 18'. Objectives include stating what UK law says about images of anyone under 18, including images of yourself.",
RSHE-S-OSA-5,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,5,"That keeping or forwarding indecent or sexual images of someone under 18 is a crime, even if the photo is of themselves or of someone who has consented, and even if the image was created by the child and/or using AI generated imagery. Pupils should understand the potentially serious consequences of acquiring or generating indecent or sexual images of someone under 18, including the potential for criminal charges and severe penalties including imprisonment. Pupils should know how to seek support and should understand that they will not be in trouble for asking for help, either at school or with the police, if an image of themselves has been shared. Pupils should also understand that sharing indecent images of people over 18 without consent is a crime.","para 165 conduct: explicit images, including those generated using AI; and the definition section, which states images may be digitally altered or wholly generated using artificial intelligence, including what are sometimes described as deepfakes or deep nudes",Yes,FULL,ks4-16-consent-images-law,"ks4-16 teaches that the law applies to any image of a person under 18, teaches Report Remove, and teaches that a pupil will not be in trouble for asking for help.","Closed by migration 309. The law diagram gained a fourth thing it covers, generating: an image a computer made or edited onto someone under 18 is treated exactly like a photograph. The slide before it now adds that past eighteen the rule changes shape rather than disappearing, because sharing an intimate image of an adult without consent is also a crime."
RSHE-S-OSA-6,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,6,"What to do and how to report when they are concerned about material that has been circulated, including personal information, images or videos, and how to manage issues online.",,Yes,FULL,ks4-16-consent-images-law,"18 slides teach the reporting route by name: Report Remove, run by Childline and the Internet Watch Foundation, described as free, confidential and available to anyone under 18.",
RSHE-S-OSA-7,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,7,"About the prevalence of deepfakes including videos and photos, how deepfakes can be used maliciously as well as for entertainment, the harms that can be caused by deepfakes and how to identify them.","para 160: understanding online harms such as sharing images, the prevalence of deepfakes, pornography and misogynistic influencers and when and where to seek help",Yes,FULL,ks3-12-misinfo-deepfakes,"ks3-12 is the 33 slide pilot module. It defines deepfake, teaches identification, and carries a sourced detection statistic (iProov deepfake detection study, 2025).",
RSHE-S-OSA-8,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,8,"That the internet contains inappropriate and upsetting content, some of which is illegal, including unacceptable content that encourages misogyny, violence or use of weapons. Pupils should be taught where to go for advice and support about something they have seen online. Pupils should understand that online content can present a distorted picture of the world and normalise or glamorise behaviours which are unhealthy and wrong.","para 165 content: racism, misogyny, antisemitism, radicalisation, extremism, extreme sexual or physical violence",Yes,FULL,ks4-18-radicalisation-misogyny; ks4-29-did-not-go-looking,"ks4-18 teaches the pipeline that carries misogynistic content. ks4-29 teaches the violence half: a violent video arriving in a feed is the first card in the sort, knife supply is taught at s17 as a website that is not a loophole, and s21 'Stop it, report it, say it' gives the routes, in the app, Report Harmful Content from thirteen, and a named person. s9 'What it does to look' teaches the distorted picture clause: repetition makes a serious thing look more ordinary than it is, which matters most for whoever is already struggling.","Closed by migration 315. Where to go for advice about something seen online is now taught at secondary as three moves in order, with the reporting chain app first, then Report Harmful Content, and a person for the half a report never does."
RSHE-S-OSA-9,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,9,"That social media can lead to escalations in conflicts, how to avoid these escalations and where to go for help and advice.",,Yes,FULL,ks3-27-when-it-turns-on-you,"ks3-27 s6 'Why it gets bigger online' teaches escalation as structural: three brakes a room has and a screen lacks, the face, the privacy and the forgetting. s10 'Three brakes that are missing' is the diagram. s8 'The quiet majority is the whole audience' teaches why one message breaks a pile on. s16 'What actually ends it' gives name it, save it, say it, and s18 'Where to take it' gives the routes in the app, in school and outside, with Childline's number.","Closed by migration 313. Avoiding escalation is taught as a bystander move a fourteen year old will actually make: one message in the chat, one private message to the person, one adult."
RSHE-S-OSA-10,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,10,"How to identify when technology and social media is used as part of bullying, harassment, stalking, coercive and controlling behaviour, and other forms of abusive and/or illegal behaviour and how to seek support about concerns.","para 165 conduct: online bullying; para 160: how to recognise and report concerns about an abusive relationship, including coercive and controlling behaviour",Yes,FULL,ks3-27-when-it-turns-on-you,"ks3-27 s12 'Four things with real names' defines bullying, harassment, stalking and coercive control with the line on each. s13 checks that one rude comment is not harassment and a two sided row is not bullying. s14 is a five message scenario of coercive control, each message innocent alone, and s15 names the pattern. s16 'Where a name becomes the law' states that harassment, stalking and coercive control are criminal offences.","Closed by migration 313. The name it sheet has every pupil write who precisely they would say it to, by role or by name, because vagueness there is the commonest reason nothing happens."
RSHE-S-OSA-11,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,11,"That pornography, and other online content, often presents a distorted picture of people and their sexual behaviours and can negatively affect how people behave towards sexual partners. This can affect pupils who see pornographic content accidentally as well as those who see it deliberately. Pornography can also portray misogynistic behaviours and attitudes which can negatively influence those who see it.",para 160: pornography and misogynistic influencers; para 165 content: pornography,Yes,FULL,ks3-14-bodies-image-pressure,"ks3-14 names it calmly: 'One more kind of made content needs naming, calmly and briefly: pornography.' It teaches that made content including pornography is not a guide to real bodies or real relationships, that seeing it is not unusual and not a punishable thing, and carries a sourced figure on average age of first exposure.","Closed by migration 309. The module now teaches the half that reaches other people: watching a lot of it can change what someone expects of a partner, and the damage is that expectation travelling into a real relationship."
RSHE-S-OSA-12,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,12,"How information and data is generated, collected, shared and used online.",,Yes,FULL,ks4-15-manipulation-persuasion; ks5-20-ai-mastery-data-rights; ks3-10-mood-and-screens,"ks5-20 defines profiling as building a picture of who you are from your data, usually to predict and shape what you buy, watch and believe. ks3-10 uses 'your feed, your data' as its close.","Closed by migration 311. ks4-15 now opens the machine: every scroll, pause, search and like is collected, behaviour rather than posts, and the profile built from it is what is actually for sale."
RSHE-S-OSA-13,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,13,"That websites may share personal data about their users, and information collected on their internet use, for commercial purposes (e.g. to enable targeted advertising).",para 165 contact: commercial advertising; commerce: inappropriate advertising,Yes,FULL,ks4-15-manipulation-persuasion; ks4-19-readiness-at-16,ks4-15 teaches the attention business model and who profits from a feeling.,"Closed by migration 311. Advertisers do not buy your name, they buy the right to reach the kind of person you have been measured to be, which is why the advert feels like it read your mind and why the free app was never free."
RSHE-S-OSA-14,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Secondary,Relationships and sex education (secondary),Online safety and awareness,14,"That criminals can operate online scams, for example using fake websites or emails to extort money or valuable personal information. This information can be used to the detriment of the person or wider society. About risks of sextortion, how to identify online scams relating to sex, and how to seek support if they have been scammed or involved in sextortion.",para 165 commerce: phishing and or financial scams,Yes,FULL,ks3-13-scams-fraud-money; ks4-17-sextortion,"ks3-13 is a 31 slide module on scams and fraud, teaching that 'Pretending to be someone else to take money or an account is fraud, and fraud is a criminal offence rather than bad luck.' ks4-17 is a 30 slide module on sextortion, teaching the opener, the escalation, the threat with a countdown, and three lifelines.",
